"","tBodyAcc-std()-X","tBodyAcc-std()-Y","tBodyAcc-std()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Y","tGravityAcc-std()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Y","tBodyAccJerk-std()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Y","tBodyGyro-std()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Y","tBodyGyroJerk-std()-Z","tBodyAccMag-std()","tGravityAccMag-std()","tBodyAccJerkMag-std()","tBodyGyroMag-std()","tBodyGyroJerkMag-std()","fBodyAcc-std()-X","fBodyAcc-std()-Y","fBodyAcc-std()-Z","fBodyAccJerk-std()-X","fBodyAccJerk-std()-Y","fBodyAccJerk-std()-Z","fBodyGyro-std()-X","fBodyGyro-std()-Y","fBodyGyro-std()-Z","fBodyAccMag-std()","fBodyBodyAccJerkMag-std()","fBodyBodyGyroMag-std()","fBodyBodyGyroJerkMag-std()"
"1",-0.9952786,-0.98311061,-0.91352645,-0.98524969,-0.98170843,-0.87762497,-0.99351906,-0.98835999,-0.99357497,-0.98531027,-0.97662344,-0.99220528,-0.99211067,-0.99251927,-0.99205528,-0.9505515,-0.9505515,-0.99433641,-0.96433518,-0.99136761,-0.99542175,-0.98313297,-0.90616498,-0.99582068,-0.99093631,-0.99705167,-0.98503264,-0.97388607,-0.99403493,-0.95613397,-0.99375495,-0.96130944,-0.99069746
"2",-0.99824528,-0.97530022,-0.96032199,-0.99741134,-0.98944741,-0.93163868,-0.99554814,-0.98106363,-0.9918457,-0.98311996,-0.9890458,-0.98912123,-0.98987256,-0.9972926,-0.993851,-0.97605707,-0.97605707,-0.99169441,-0.98375419,-0.99610164,-0.99868026,-0.97492981,-0.95543811,-0.99665235,-0.98208394,-0.99262682,-0.98490434,-0.98716807,-0.98978468,-0.97586576,-0.99196029,-0.98332192,-0.99639947
"3",-0.99537956,-0.96718701,-0.97894396,-0.99957395,-0.99286582,-0.99291723,-0.99074281,-0.98095561,-0.98968664,-0.97629211,-0.99355182,-0.98637871,-0.98846185,-0.99563214,-0.99153184,-0.98801962,-0.98801962,-0.9903969,-0.98605146,-0.99509104,-0.99631281,-0.96550593,-0.97704932,-0.9912488,-0.98141476,-0.9904159,-0.97664224,-0.99339895,-0.98732821,-0.98901548,-0.99086668,-0.98602772,-0.99512739
"4",-0.99609149,-0.9834027,-0.9906751,-0.99664558,-0.98139281,-0.97847643,-0.99269737,-0.98755275,-0.99349757,-0.9913848,-0.99240732,-0.98755418,-0.9911194,-0.99664096,-0.99332889,-0.98642135,-0.98642135,-0.9933808,-0.98735112,-0.9952666,-0.99631211,-0.98324437,-0.99022911,-0.99137827,-0.98692685,-0.99439076,-0.99281036,-0.99164605,-0.98867764,-0.98674196,-0.99169983,-0.98783575,-0.99523693
"5",-0.99813862,-0.98081727,-0.99048163,-0.99842928,-0.98809824,-0.97874493,-0.99642017,-0.98835871,-0.9924549,-0.98518357,-0.99237812,-0.98740185,-0.99135446,-0.99647298,-0.99451099,-0.99127536,-0.99127536,-0.99585371,-0.98906257,-0.99525804,-0.99860647,-0.98012947,-0.99191496,-0.99690254,-0.98860666,-0.99290652,-0.98598182,-0.99195582,-0.98794433,-0.99006346,-0.99438901,-0.98905935,-0.99546483
"6",-0.99733496,-0.99048681,-0.99542003,-0.9989793,-0.98675389,-0.99730641,-0.9948136,-0.98871446,-0.99226635,-0.9851808,-0.99211748,-0.98307675,-0.99162156,-0.99601465,-0.99309059,-0.99524897,-0.99524897,-0.99542431,-0.98644027,-0.99520498,-0.9976438,-0.99226365,-0.99704592,-0.995218,-0.9901788,-0.99306675,-0.98528707,-0.99165953,-0.9853661,-0.9952833,-0.99515619,-0.98586094,-0.9952387
"7",-0.99692104,-0.96718593,-0.98311783,-0.99933247,-0.98857468,-0.99201595,-0.99520561,-0.98483079,-0.98842507,-0.98817723,-0.98920571,-0.9791538,-0.99041853,-0.99541459,-0.9904868,-0.98274603,-0.98274603,-0.98944783,-0.98462525,-0.9952695,-0.99746125,-0.96792578,-0.98288731,-0.9962421,-0.98826343,-0.98790847,-0.98878814,-0.98840583,-0.9811471,-0.98477295,-0.99054611,-0.98456854,-0.99463909
"8",-0.99655926,-0.96672843,-0.98158533,-0.99811827,-0.97295996,-0.97656878,-0.99527281,-0.98129122,-0.99033964,-0.98910723,-0.98740324,-0.97851956,-0.9911036,-0.99579433,-0.99073859,-0.97599674,-0.97599674,-0.99038832,-0.98683834,-0.9952107,-0.99727933,-0.96410195,-0.97807586,-0.99612766,-0.98336934,-0.98816283,-0.98960041,-0.9859172,-0.97968102,-0.9751195,-0.98979026,-0.98706484,-0.99450684
"9",-0.99732847,-0.96124532,-0.98367156,-0.99778938,-0.9756451,-0.9689613,-0.99647892,-0.98005127,-0.99666607,-0.99088198,-0.99289135,-0.98724152,-0.99241954,-0.99631178,-0.99395634,-0.97751373,-0.97751373,-0.99288747,-0.99091446,-0.9955883,-0.99736759,-0.95918148,-0.98005989,-0.99650656,-0.98128976,-0.99544136,-0.99137591,-0.99351595,-0.98962879,-0.9766829,-0.99289011,-0.99175866,-0.99600721
"10",-0.99480344,-0.9727584,-0.98624387,-0.99736219,-0.99050162,-0.99674235,-0.99115561,-0.9692003,-0.98861504,-0.98493784,-0.98730376,-0.98084404,-0.98391251,-0.99307848,-0.98439956,-0.98670243,-0.98670243,-0.98364308,-0.98026379,-0.9907352,-0.99538845,-0.97479378,-0.98653557,-0.99146811,-0.96931831,-0.98897477,-0.98586913,-0.9868624,-0.98378763,-0.98902313,-0.98405698,-0.98038779,-0.99059941
